Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Fundação para o Desenvolvimento da Educação;36/00333/20/05-001;PREGÃO ELETRÔNICO;BELLINEA INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA- EPP;04/03/2020 00:00;12/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1346441
Fundação para o Desenvolvimento da Educação;36/00462/20/05-001;PREGÃO ELETRÔNICO;BELLINEA INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA- EPP;04/03/2020 00:00;12/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1366445
Centro de Detenção Provisória de Taiúva;2020CT00054;CONVITE;SHEKINAH MATERIAIS PARA CONSTRUÇÃO LTDA EPP;04/03/2020 00:00;13/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393722
Centro de Detenção Provisória de Taiúva;2020CT00055;CONVITE;JADE LEPERA PRESTES COM.MAT. CONSTRUÇÃO ME;04/03/2020 00:00;13/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393722
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01252;PREGÃO ELETRÔNICO; DIAMED LATINO AMERICA S/A;11/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1300386
Diretoria de Ensino Região de Registro; 2019CT00302;CONVITE;TECHNICAL NET COMERCIAL E SERVIÇOS EIRELI ME;19/12/2019 00:00;13/03/2020 00:00;11;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380601
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01251;PREGÃO ELETRÔNICO;FRESENIUS HEMOCARE BRASIL LTDA  (ANTIGA ASEM - NPB;11/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1311202
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01250;PREGÃO ELETRÔNICO;AIMARA COMERCIO E REPRESENTACOES LTDA;11/03/2020 00:00;13/03/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1333700
Fundação para a Conservação e a Produção Florestal do Estado de São Paulo;18053-7-01-14;PREGÃO ELETRÔNICO;FAUNÍSTICA ESTUDOS AMBIENTAIS LTDA;05/03/2020 00:00;13/03/2020 00:00;1;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1248359
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01249;PREGÃO ELETRÔNICO;FRESENIUS HEMOCARE BRASIL LTDA  (ANTIGA ASEM - NPB;11/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1355074
Centro de Atenção Integral à Saude Professor Cantidio de Moura Campos;2020NE00147;PREGÃO ELETRÔNICO;CAPROMED FARMACEUTICA LTDA;11/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392964
Unicamp - Diretoria Geral da Administração;189/2020;PREGÃO ELETRÔNICO;MAX-SINAL GRÁFICOS PARA INSTRUMENTAÇÃO LTDA EPP;12/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391944
Fundação Pró-Sangue Hemocentro de São Paulo;43525;PREGÃO ELETRÔNICO;Rem Industria e Comercio Ltda;31/01/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1281446
Departamento Regional de Saude de Franca - DRS VIII;2020CT00042;PREGÃO ELETRÔNICO;DUPATRI HOSP COM, IMP E EXP LTDA ;24/01/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1353876
Penitenciária Nestor Canoa de Mirandópolis;065/2020-PNC;PREGÃO ELETRÔNICO;SIRLENE ANTONIA GRAVATA CANOLA 01064097197;20/02/2020 00:00;13/03/2020 00:00;70;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391332
Delegacia Seccional de Polícia de Santo André;2020NE00059;CONVITE;E.G.DAMASCENO EIRELI;06/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393304
Reitoria - USP;43952;PREGÃO ELETRÔNICO;AWK AMBIENTAL LTDA;09/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1377191
Departamento Regional de Saude de Franca - DRS VIII;2020CT00043;PREGÃO ELETRÔNICO;NOVARTIS BIOCIENCIAS S.A.;24/01/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1353876
IMPRENSA OFICIAL DO ESTADO S A IMESP;0023/2020;PREGÃO ELETRÔNICO;ER DO BRASIL IND. E COM. DE PRODUTOS QUÍM EIRELI;11/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387072
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;1803392020CT00004;CONVITE;FLASH COMÉRCIO PRODUTOS DE HIGIENE LTDA ;09/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395347
Centro de Detenção Provisória de Sorocaba;2020OC00002;CONVITE;JAAGUAR TEXTIL LTDA ME;12/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396197
Departamento Regional de Saude de Franca - DRS VIII;2020CT00044;PREGÃO ELETRÔNICO;PORTAL LTDA ;24/01/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1353876
Unicamp-Hospital de Clínicas;165/2020;PREGÃO ELETRÔNICO;POLYSUTURE INDUSTRIA E COMERCIO LTDA;06/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1345632
Delegacia Seccional de Polícia de Santo André;2020NE00060;CONVITE;JOAQUIM LOURENÇO FILHO JACAREÍ EPP;06/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393304
Departamento Regional de Saude de Franca - DRS VIII;2020CT00047;PREGÃO ELETRÔNICO;AMC SAUDE COM HOSP EIRELI – ME  ;24/01/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1361235
Instituto da Assistência Médica ao Servidor Público Estadual;069/2020;PREGÃO ELETRÔNICO;INTERMED ASSISTÊNCIA MÉDICA DOMICILIAR LTDA ;13/02/2020 00:00;13/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390607
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;1803392020CT00005;CONVITE;MUCCIO&MUCCIO LTDA-EPP ;09/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395347
Cent. Det. Prov. 'ASP Francisco Carlos Caneschi' de Bauru;001/2020;PREGÃO ELETRÔNICO;ROBERTO CARLOS GRILLO - ME;17/12/2019 00:00;13/03/2020 00:00;120;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392907
Unicamp -Centro de Atenção Integral à Saúde da Mulher;00163/2020;PREGÃO ELETRÔNICO;STERILEX CIENTIFICA LTDA;10/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1375435
Departamento Regional de Saude de Franca - DRS VIII;2020CT00048;PREGÃO ELETRÔNICO;MEG ALIMENTOS E NUTRIÇAO LTDA ;24/01/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1361235
Delegacia Seccional de Polícia de Santo André;2020NE00061;CONVITE;IBASA DO BRASIL IND. E COMÉRCIO LTDA;06/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393304
Departamento Regional de Saude de Franca - DRS VIII;2020CT00046;PREGÃO ELETRÔNICO;CIRURGICA CALIFORNIA EIRELI - ME ;24/01/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1358881
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;2020CT00006;CONVITE;SACA E CAVALLO LTDA - ME;12/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396045
Cent. Det. Prov. 'ASP Francisco Carlos Caneschi' de Bauru;006/2020CDPB;PREGÃO ELETRÔNICO;NUTRICIONALE COMERCIO DE ALIMENTOS LTDA;03/03/2020 00:00;13/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392907
Instituto da Assistência Médica ao Servidor Público Estadual;43862;PREGÃO ELETRÔNICO;CREMER S/A;12/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384541
Fundação Padre Anchieta -Centro Paulista de Rádio e TV Educativas;0011/2020;PREGÃO ELETRÔNICO;INTERFACETV BROADCASTING, SERV. E LOC DE MAQ LTDA;17/01/2020 00:00;13/03/2020 00:00;6;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386276
Delegacia Seccional de Polícia de Santo André;2020NE00062;CONVITE;MUCCIO & MUCCIO LTDA;06/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393304
Instituto da Assistência Médica ao Servidor Público Estadual;43862;PREGÃO ELETRÔNICO;PONTUAL COMERCIAL EIRELI ;12/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384541
Instituto da Assistência Médica ao Servidor Público Estadual;23/2020;PREGÃO ELETRÔNICO;DRIVEOP I IMPORTADORA E EXPORTADORA LTDA;12/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388211
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;2020CT00007;CONVITE;SÃO MIGUEL ALIMENTOS LTDA EPP;12/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396045
Delegacia Seccional de Polícia de Santo André;2020NE00063;CONVITE;TAQUAPEL DISTRIBUIDORA EIRELI;06/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393304
Instituto da Assistência Médica ao Servidor Público Estadual;20/2020;PREGÃO ELETRÔNICO;MAC DO BRASIL COMERCIAL LTDA;12/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388144
Instituto da Assistência Médica ao Servidor Público Estadual;29/2020;PREGÃO ELETRÔNICO;ALFAPLAST COMÉRCIO DE PRODUTOS PARA LABORATÓRIOS L;12/03/2020 00:00;13/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389210
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;2020CT00008;CONVITE;M.F INDÚSTRIA PAULISTA DE CAFÉ LTDA - EPP;12/03/2020 00:00;13/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396045
Penitenciária III de Hortolândia;001/2019PIII;PREGÃO ELETRÔNICO;Colina Transporte e Comércio de Cereais Eireli;20/11/2019 00:00;14/03/2020 00:00;41;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1359892
Secretaria de Governo - Departamento de Administração;23/2019;PREGÃO ELETRÔNICO;FORT CORPORATIVO COMERCIAL EIRELI;03/03/2020 00:00;14/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1365612
Unicamp - Diretoria Geral de Administração;214/2020;PREGÃO ELETRÔNICO;AGRO VILA VERDE COMÉRCIO DE HORTIFRUTI E ALIMENTOS;09/03/2020 00:00;14/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390556
Centro de Detenção Provisória de  Vila Independência;2020NE00104;CONVITE;ISOPRO ISOLACAO E ACESSORIOS IND. LTDA;12/03/2020 00:00;14/03/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396002
Secretaria Estadual da Saúde - Gabinete do Secretário;2020NE00282;PREGÃO ELETRÔNICO;MARCELO FRANCISCO CAYRES EVENTOS EPP;06/03/2020 00:00;14/03/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1308584
Penitenciária Feminina II de Tremembé;101/2019;PREGÃO ELETRÔNICO;COMERCIAL DE ALIMENTOS L M B EIRELI.;30/12/2019 00:00;14/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1373360
Unesp Jaboticabal - Faculdade de Ciências Agrárias e Veterinárias;42461;CONCORRÊNCIA;BANCO BRADESCO S/A;19/02/2020 00:00;14/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1050435
Secretaria Estadual da Saúde - Gabinete do Secretário;202000198;PREGÃO ELETRÔNICO;MARCELO FRANCISCO CAYRES EVENTOS EPP;13/02/2020 00:00;14/03/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1308584
Centro de Detenção Provisória de  Vila Independência;2020ne000105;CONVITE;MISSE AGRO FERRAMENTAS LTDA – EPP;12/03/2020 00:00;14/03/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396002
Penitenciária Feminina II de Tremembé;118/19;CHAMADA PÚBLICA;JOAQUIM JOSÉ DE SOUZA NETO;31/12/2019 00:00;14/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1378471
Centro de Detenção Provisória de  Vila Independência;2020ne00106;CONVITE;M. DE SOUZA PIRES DIVISÓRIAS - ME;12/03/2020 00:00;14/03/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396002
Centro de Detenção Provisória de  Vila Independência;2020ne00107;CONVITE;LRA COMPUTER INFORMATICA LTDA;12/03/2020 00:00;14/03/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396002
Departamento Regional de Saúde de Araçatuba;42552;PREGÃO ELETRÔNICO;R.R. dos Santos Tecnologia ME;10/03/2020 00:00;14/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1062779
Secretaria da Administração Penitenciária;43831;PREGÃO ELETRÔNICO;GOD SERVICE SERVIÇOS E TRANSPORTES LTDA - ME;06/03/2020 00:00;14/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389051
Penitenciária de Marília;2020NE00245;CONVITE;ANVAX COMPANY HIGIENE E PERFUMARIA LTDA;06/03/2020 00:00;17/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397957
Penitenciária Rodrigo dos Santos Freitas de Balbinos;2020NE00219;CONVITE; MUCCIO & MUCCIO LTDA - EPP;13/03/2020 00:00;17/03/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395300
Penitenciária Nilton Silva de Franco da Rocha;32;PREGÃO ELETRÔNICO;RRL CÓMERCIO DE PRODUTOS ALIMENTÍCIOS LTDA ME;10/01/2020 00:00;17/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1382457
Procuradoria Geral do Estado - Dep. de Suprimentos e Atividades Complementares;PGE Nº 042/2016;PREGÃO ELETRÔNICO;GB Bariri Serviços Gerais Ltda ;13/03/2020 00:00;17/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1068435
Hospital das Clinicas da FMUSP;0017/2020;PREGÃO ELETRÔNICO;CITOPHARMA MANIPULACAO DE MEDICAMENTOS ESPECIAIS L;12/03/2020 00:00;17/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388228
Penitenciária Nilton Silva de Franco da Rocha;33;PREGÃO ELETRÔNICO;CAPODIFOGLIO & CIA  LTDA;10/01/2020 00:00;17/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1382457
Hospital das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP;32/2020;PREGÃO ELETRÔNICO;GO.MED DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME;16/03/2020 00:00;17/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387658
Penitenciária Nilton Silva de Franco da Rocha;39;PREGÃO ELETRÔNICO;RRL COMÉRCIO DE PRODUTOS ALIMENTÍCIAS LTDA ME;17/02/2020 00:00;17/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389806
Departamento de Suprimentos e Infraestrutura - Secr. da Fazenda e Planejamento;2020NE00122;PREGÃO ELETRÔNICO;PAULILLO & OLIVEIRA DIST, COM. E IND. LTDA;12/03/2020 00:00;17/03/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1337312
Unicamp-Hospital de Clínicas;191/2020;PREGÃO ELETRÔNICO;CITOPHARMA MANIPULAÇÃO DE MED. ESP. LTDA;13/03/2020 00:00;17/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387379
Hospital das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP;93/2020;PREGÃO ELETRÔNICO;COMERCIAL VANQUES LTDA-EPP.;16/03/2020 00:00;17/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391685
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87845050100;PREGÃO ELETRÔNICO;Labvision Instruments Comércio e Serviços Ltda - M;13/03/2020 00:00;17/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391085
Unicamp-Hospital de Clínicas;192/2020;PREGÃO ELETRÔNICO;FRESENIUS KABI BRASIL LTDA;13/03/2020 00:00;17/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388833
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87679050100;PREGÃO ELETRÔNICO;Labsynth Produtos para Laboratórios Ltda;13/03/2020 00:00;17/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389391
Penitenciária Feminina Sant'ana;PFS Nº 003/2020;TOMADA DE PREÇOS;CONSTRUTORA OHANA LTDA;16/03/2020 00:00;18/03/2020 00:00;195;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1367928
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00213;PREGÃO ELETRÔNICO;BMD COMÉRCIO DE PRODUTOS MÉDICOS LTDA.;13/03/2020 00:00;18/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389182
Hospital das Clinicas da FMUSP;43313;PREGÃO ELETRÔNICO;ENGEMANUT MANUTENÇÃO ELÉTRICA LTDA - ME;03/03/2020 00:00;18/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1204956
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00214;PREGÃO ELETRÔNICO;HOLLISTER DO BRASIL LTDA;13/03/2020 00:00;18/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389182
Penitenciária Orlando Brando Filinto de Iaras;2020NE00218;CONVITE;EXATA DISTRIBUIDORA DE MEDICAMENTOS EIRELI ME;05/03/2020 00:00;18/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394740
Hospital das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP;45/2020;PREGÃO ELETRÔNICO;PLASTLABOR IND. E COM. DE EQ. HOSPITALAR E LAB. LT;17/03/2020 00:00;18/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388104
Penitenciária Orlando Brando Filinto de Iaras;2020NE00219;CONVITE;RAP APARECIDA COM. MEDIC.LTDA ME;05/03/2020 00:00;18/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394740
Coord. de Unidades Prisionais da Região Central do Estado;001/2020-CRC;PREGÃO ELETRÔNICO;GUIA VEÍCULOS LTDA;06/03/2020 00:00;18/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392099
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01351;PREGÃO ELETRÔNICO;SOMMA PRODUTOS HOSPITALARES LTDA;16/03/2020 00:00;18/03/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1332814
Secretaria Estadual de Infraestrutura e Meio Ambiente - Gabinete Secretario;04/2016/FED;PREGÃO ELETRÔNICO;EVX Veículos Elétricos Ltda.- ME;20/02/2020 00:00;18/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1061245
Hospital das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP;45/2020;PREGÃO ELETRÔNICO;ECO DIAGNÓSTICA LTDA;17/03/2020 00:00;18/03/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388104
Sabesp - Unidade de Negócios da Baixada Santista;05251/19;PREGÃO ELETRÔNICO;suely valquiria jagher e silva domaredzky epp;17/03/2020 00:00;18/03/2020 00:00;330;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387119
Penitenciária Orlando Brando Filinto de Iaras;2020NE00220;CONVITE;DROGARIA NOVA ESPERANÇA LTDA EPP;05/03/2020 00:00;18/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394740
Penitenciária Orlando Brando Filinto de Iaras;2020NE00221;CONVITE;AZULPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;05/03/2020 00:00;18/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1394740
